mut_types,mut_layer_name,mut_result
LD,classifier.3,True
LS,"layers.19,layers.18",True
RA,layers.9,True
LC,layers.39,True
RA,layers.2,True
NAI,layers.24,True
NAI,classifier.0,True
WS,layers.37,True
NS,classifier.0,True
LD,layers.11,True
WS,classifier.0,True
GF,layers.4,True
LC,layers.28,True
LC,layers.2,True
LD,layers.25,True
WS,layers.30,True
NS,layers.24,True
NS,layers.24,True
LA,no,LA Create illegal layer
NS,layers.7,True
GF,classifier.4,True
LD,classifier.5,True
RA,layers.12,True
GF,layers.36,True
NEB,layers.34,True
NS,layers.37,True
LS,"layers.42,layers.41",True
GF,layers.23,True
NEB,layers.34,True
AFRM,layers.22,True
RA,layers.41,True
GF,layers.2,True
AFRM,layers.16,True
AFRM,layers.41,True
RA,layers.12,True
AFRM,classifier.4,True
NS,classifier.0,True
NEB,layers.34,True
LD,layers.21,True
LC,layers.29,True
NAI,layers.0,True
RA,layers.18,True
GF,layers.34,True
NAI,classifier.6,True
LD,layers.4,True
GF,layers.18,True
LD,layers.42,True
NAI,layers.34,True
NEB,layers.34,True
NEB,layers.34,True
LD,layers.29,True
NAI,layers.17,True
LA,no,LA Create illegal layer
GF,layers.3,True
LS,"layers.39,layers.38",True
NEB,layers.34,True
LC,layers.1,True
LS,"layers.18,layers.19",True
LD,layers.39,True
NS,layers.3,True
NS,layers.20,True
LS,"layers.32,layers.31",True
RA,layers.19,True
LD,layers.28,True
LC,layers.15,True
GF,classifier.1,True
AFRM,layers.19,True
NEB,layers.34,True
LC,layers.12,True
NEB,layers.34,True
LC,layers.36,True
LA,layers.32,True
LS,"layers.31,layers.32",True
AFRM,layers.5,True
RA,layers.9,True
NAI,layers.30,True
LD,layers.28,True
LC,layers.8,True
RA,layers.32,True
RA,classifier.1,True
AFRM,layers.32,True
LA,layers.36,True
GF,classifier.2,True
LC,layers.18,True
NEB,layers.34,True
RA,layers.9,True
LD,layers.2,True
NS,layers.24,True
NS,layers.31,True
NEB,layers.34,True
LC,layers.26,True
NS,classifier.0,True
LD,classifier.2,True
LS,"layers.8,layers.9",True
NAI,layers.20,True
NAI,layers.0,True
NS,layers.30,True
AFRM,layers.8,True
RA,classifier.1,True
NEB,layers.34,True
